id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52937816,Clean Private New Memory Foam Bed Desk OSU MAPFRE,428185243,Mark,,Near North/University,40.009056,-83.000824,Private room,55,1,39,9/10/22,3.99,5,345,39,2021-2418
52962552,"Private, spacious, basement studio.",377630668,Christopher,,Greenlawn/Frank Road,39.91332,-83.04577,Private room,34,30,0,,,1,78,0,
52964805,Clean Private New Memory Foam Bed Desk OSU MAPFRE,428185243,Mark,,Near North/University,40.009056,-83.000824,Private room,53,1,32,9/16/22,3.25,5,344,32,2021-2418
52965627,Quaint 4 Bd Home. 4 miles from Airport and Easton,428809454,Zach,,Far East,40.03853,-82.87629,Entire home/apt,214,3,6,7/17/22,0.55,1,355,6,
52966945,"Trendy Clintonville Home - near OSU, downtown, CMH",90103906,StayCare Columbus,,Clintonville,40.0338,-83.01974,Entire home/apt,174,3,33,9/11/22,3.72,4,116,33,2021-2345
53011262,Pet Friendly 1 Bedroom Northview A,174256511,Nicholas,,Northeast,39.98641,-82.93451,Entire home/apt,95,2,6,6/28/22,0.65,32,357,6,2022-2851
53014591,The Artsy Attic Suite ⭐ 10min to Airport,4747067,Keryna,,Eastmoor/Walnut Ridge,39.96686,-82.91382,Entire home/apt,90,1,46,9/7/22,4.5,1,126,46,2021-3243
53028652,Lovely 2 floor condo with free parking,387439145,Raven,,Near South,39.95084,-82.958916,Entire home/apt,109,1,44,9/19/22,4.66,2,0,44,2021-3098
53051643,Beautifully Updated 3 BR Southern Orchards Estate,188927124,Don,,Near South,39.93894,-82.9704,Entire home/apt,165,2,8,9/4/22,0.76,6,342,8,2021-3254
53076622,The Modern Metro Triplex—COLUMBUS ITALIAN VILLAGE,116400313,Nate,,Near North/University,39.98738,-83.00033,Entire home/apt,231,2,9,8/21/22,0.87,25,154,9,2021-2796
53079561,Suite Sleeps,231523332,Benjamin,,Northeast,40.00783,-82.91863,Private room,56,1,46,9/4/22,4.34,3,326,46,2021-2891
53080252,"""Rest Assured"" Guest Suite with private bathroom",153931727,Carmelita,,Northland,40.0815,-82.96346,Private room,100,2,1,11/21/21,0.1,1,161,1,2021-3025
53095950,Private★Modern★Cozy★ Amazing Location★Walkable,137455937,Rori,,Near South,39.93984,-82.98915,Entire home/apt,144,1,74,9/19/22,7.12,2,128,74,2019-2022
53096006,German Village Townhouse,8963103,Sarah,,Near South,39.95234,-82.99363,Entire home/apt,115,1,20,6/20/22,2.1,33,42,20,2021-2806
53103266,Ol' Bluebelle: Gatsby Vibes Near German Village!,9954889,Heather,,Near South,39.94996,-82.97008,Entire home/apt,211,1,17,9/4/22,2.39,1,151,17,2021-3357
53106738,2- Bedroom Apartment in German Village!,137455937,Rori,,Near South,39.93857,-82.98714,Entire home/apt,128,30,1,9/3/22,1,2,275,1,
53124579,Beechwold Boho,137419825,Susanne,,Clintonville,40.05809,-83.02176,Entire home/apt,279,2,36,9/17/22,4.35,2,319,36,2021-3553
53126447,Intimate space in King-Lincoln Bronzeville,32535546,Tiffany,,Near East,39.97238,-82.9711,Entire home/apt,189,2,25,9/4/22,3.89,1,339,25,2021-3418
53143962,⭐️Modern Cozy Balcony Suite/Free Parking/NEW UNIT⭐️,390327034,Jordan,,West Olentangy,40.05078,-83.04284,Entire home/apt,129,1,37,9/4/22,3.49,9,5,37,2021-4581
53147110,Stylish Interstellar Apt | 5 Min Walk to Main St!,325932974,Evan,,Eastmoor/Walnut Ridge,39.95517,-82.92388,Entire home/apt,102,1,34,9/4/22,3.58,34,18,34,2021-1941
53154562,2 bedroom NEWLY REMODELED beautiful home.,60554886,Christopher,,Franklinton,39.96134,-83.03915,Entire home/apt,111,2,7,4/24/22,0.78,1,324,7,2021-1234
53166486,Gram Worthy Home Near Downtown | Patio | Big Yard,120989543,Evan,,Clintonville,40.06924,-83.01617,Entire home/apt,174,1,52,9/11/22,6.58,1,171,52,2021-3382
53172663,★ Hudson Place: Premier Modern Downtown 2BR Loft,43899892,Joel & Angie,,Near North/University,39.9908,-83.00495,Entire home/apt,182,1,101,9/17/22,10.38,2,333,101,2021-1938
53188439,BEAUTIFUL 1BR IN HISTORIC PART OF GERMAN VILLAGE l,158439641,GH Hospitality,,Near South,39.93952,-82.99258,Entire home/apt,150,2,28,9/14/22,2.69,52,350,28,2021-2260
53189950,Quiet Hotel Stay I in the Indie Art Capital 270,117178691,Leigh,,Northland,40.08947,-82.9891,Private room,61,2,14,9/5/22,1.37,4,38,14,2020-1964
53190604,Beautifully Updated 3 BR Southern Orchards Estate,188927124,Don,,Near South,39.94059,-82.97184,Entire home/apt,165,1,21,9/19/22,2.07,6,343,21,2021-3255
53199986,Quiet Hotel Stay II in the Indie Art Capital  263,117178691,Leigh,,Northland,40.09033,-82.98914,Private room,67,2,7,8/20/22,1.17,4,40,7,2020-1964
53200731,Quiet Hotel Stay I in the Indie Art Capital 281,117178691,Leigh,,Northland,40.08895,-82.98695,Private room,61,2,9,9/4/22,0.86,4,39,9,2020-1964
53201731,Close to OSU  | Cute Details | British Inspired,38683174,Preston,,Clintonville,40.06132,-83.00455,Entire home/apt,122,1,24,9/5/22,2.32,1,259,24,2021-2659
53202283,Quiet Hotel Stay II in the Indie Art Capital 261,117178691,Leigh,,Northland,40.08894,-82.98749,Private room,67,2,9,7/24/22,0.87,4,40,9,2020-1964
53216054,DOWNTOWN OASIS -Short North- FREE STARBUCKS MACHNE,420966713,H&H,,Near North/University,39.98762,-83.00305,Entire home/apt,69,30,3,9/13/22,0.36,2,239,3,
53227222,BRAND NEW Luxe Townhome in Short North w/ covered Terrace,261649006,Alex,,Near North/University,39.98508,-82.99949,Entire home/apt,424,2,21,9/18/22,2.44,10,334,21,2022-2020
53227227,BRANDNEW LuxeTownhome Short North w/coveredTerrace,261649006,Alex,,Near North/University,39.98522,-83.00024,Entire home/apt,632,2,3,3/11/22,0.43,10,240,3,2021-0960
53234291,Chic & Central Monochrome Apt | Steps to Main St,235497311,Marc (TailwindSTR),,Eastmoor/Walnut Ridge,39.95335,-82.92529,Entire home/apt,94,1,46,9/10/22,4.52,41,100,46,2021-1942
53242708,Your Comfy Contemporary Escape w/Game Room,431053210,Angela,,Eastmoor/Walnut Ridge,39.95377,-82.89547,Entire home/apt,170,1,61,9/11/22,6.58,3,149,61,
53252126,1st Floor apartment in the heart of Short North,4418841,Anton,,Near North/University,39.98764,-83.00632,Entire home/apt,90,30,4,8/8/22,0.58,3,277,4,
53253268,Short north Large bedroom with separate office,66480503,Will,,Near North/University,39.97973251,-83.00395966,Entire home/apt,130,2,8,6/5/22,0.77,8,358,8,2019-4326
53258662,The Modern Victorian House,425904765,Riste,,Franklinton,39.95954,-83.03793,Entire home/apt,164,2,20,4/18/22,1.96,1,0,20,2021-3420
53277773,The Pearl St Cottage | Parking & Patio,15723130,Carly,,Near South,39.94568,-82.99552,Entire home/apt,175,1,86,9/18/22,8.46,1,87,86,2021-3458
53280662,"Entire Home Close To Short North, Breweries, & OSU",226520148,Austin,,Near North/University,39.98893,-82.99888,Entire home/apt,122,2,19,7/10/22,2.13,1,2,19,2021-3328
53280879,NEW LOVELY 1BR IN HEART OF COLUMBUS l 24/7 GYM,158439641,GH Hospitality,,Downtown,39.95595,-82.99362,Entire home/apt,104,2,28,9/5/22,2.69,52,359,28,2022-2306
53281767,BEAUTIFUL 1BR APT IN DOWNTOWN COL + FREE PARKING,158439641,GH Hospitality,,Downtown,39.95737,-82.99377,Entire home/apt,105,2,24,9/11/22,2.31,52,359,24,2022-2307
53287926,STAY IN THE HEART OF COLUMBUS + 24/7 GYM ACCESS,158439641,GH Hospitality,,Downtown,39.95622,-82.99325,Entire home/apt,118,2,33,8/29/22,3.17,52,359,33,2022-2309
53289936,*BRAND NEW* MODERN 1BR APT IN DOWNTOWN COL l +GYM,158439641,GH Hospitality,,Downtown,39.956,-82.9947,Entire home/apt,122,2,40,9/11/22,3.85,52,360,40,2022-2310
53290752,*NEW* MODERN 1BR APT IN BEAUTIFUL PART OF COL,158439641,GH Hospitality,,Downtown,39.95584,-82.99499,Entire home/apt,120,2,24,9/4/22,2.31,52,361,24,2022-2311
53291737,GORGEOUS 1BR IN HEART OF COL l ENTERTAINMENT+GYM,158439641,GH Hospitality,,Downtown,39.95756,-82.99457,Entire home/apt,100,2,35,9/18/22,3.44,52,349,35,2022-2313
53306675,"Prime Location! Free Parking, Pet Allowed",5615582,RoomPicks,,Hayden Run,40.10128,-83.12728,Private room,86,1,2,6/19/22,0.22,1,184,2,
53307614,Newly remodeled home 📍Tons of amenities 📍 Garage!,38962915,Jennifer,,Far Northwest,40.1308,-83.07271,Entire home/apt,329,2,28,8/28/22,3.17,5,121,28,2021-2715
53313114,Housepitality - The Cobblestone 4 - Luxury,26958698,Benjamin,,Near South,39.94569,-82.99985,Entire home/apt,157,1,16,8/16/22,1.54,107,356,16,2021-3391
53321142,Arena District Townhouse,224493353,Dom,,Near North/University,39.97637,-83.01652,Entire home/apt,176,2,25,8/28/22,2.46,17,338,25,2022-9645
53321616,Townhouse Right Outside Downtown,224493353,Dom,,Near North/University,39.97645,-83.01659,Entire home/apt,190,2,14,9/16/22,1.43,17,343,14,2022-2451
53322793,Baby Blue,431344669,Jesse,,North Linden,40.03933,-82.97923,Entire home/apt,111,1,44,9/11/22,4.34,5,84,44,2021-2617
53334952,Spacious & Modern Home with everything you need!,35426465,Karen,,Far North,40.13004,-82.98308,Entire home/apt,256,1,58,9/11/22,5.92,2,303,58,2021-3416
53347570,Welcome to Little Viet Nam!!! Room I,230401088,Sally,,Near South,39.952404,-82.955093,Private room,39,1,12,8/31/22,1.58,3,326,12,2021-3472
53347784,Welcome to Little Viet Nam!!! Room G,230401088,Sally,,Near South,39.952404,-82.955093,Private room,40,1,9,9/17/22,1.61,3,363,9,2021-3472
53360967,Chic and cozy 1 bdrm apt near Children's Hospital,98326773,Aba,,Near South,39.94684,-82.97994,Entire home/apt,66,2,44,9/11/22,4.6,1,67,44,2021-3388
53369405,Exquisite Home Centrally Located,432114471,Michele,,Far North,40.12294,-82.97898,Entire home/apt,250,2,8,7/24/22,1.2,1,321,8,Exempt
53377229,BRAND NEW | Downtown | High-End Apt | Fast Wifi,158439641,GH Hospitality,,Downtown,39.956612,-82.994095,Entire home/apt,106,2,23,7/30/22,2.28,52,361,23,2022-2312
53394292,Boho Clintonville Dream House - COLUMBEST Homes,19300553,Priscilla,,Clintonville,40.07334,-83.02131,Entire home/apt,164,3,5,9/4/22,2.88,2,23,5,
53401829,Your Spacious Home near Downtown Columbus,403687886,Shan,,Near East,39.95649,-82.9681,Entire home/apt,125,1,41,8/29/22,4.03,1,29,41,2021-3590
53406048,Modern Apartment in Prime Location (ID7174X11),263502162,Landing,,Hayden Run,40.06709,-83.16097,Entire home/apt,105,30,0,,,25,0,0,
53418327,The Goodale Gallery - Heart of Short North,345450411,Evan,,Near North/University,39.97683,-83.0111,Entire home/apt,120,2,85,9/4/22,8.53,10,152,85,2021-3459
53422721,Landing | Modern Apartment with Amazing Amenities (ID716866),263502162,Landing,,Northwest,40.08715,-83.09496,Entire home/apt,90,30,0,,,25,0,0,
53422918,Updated German Village home with back yard oasis,120455802,Norma,,Near South,39.94131,-82.98773,Entire home/apt,166,3,22,9/5/22,2.28,8,165,22,2019-2731
53424459,Cheerful 2 bedroom in the heart of German village,26709863,Ved,,Near South,39.94952,-82.9962,Entire home/apt,160,2,15,9/11/22,3.31,1,322,15,2022-1727
53425923,The Urban Treehouse,194281106,Nicole,,Near North/University,39.980797,-82.999504,Entire home/apt,136,2,76,9/18/22,7.86,23,277,76,2021-3044
53426910,Short North Townhouse,224493353,Dom,,Near North/University,39.9756,-83.0148,Entire home/apt,130,2,22,9/13/22,2.25,17,324,22,2022-9742
53427141,Scarlet & Grey I-71 - 8 mins from Campus,145046370,Senthan,,North Linden,40.03113,-82.99429,Entire home/apt,111,5,12,9/3/22,1.43,2,161,12,2021-2717
53431855,BRAND NEW LUXE REMODELED HOME W/ TERRACE! MUST SEE,206636975,Kim,,West Olentangy,39.98204,-83.02131,Entire home/apt,407,2,38,9/4/22,4.21,1,255,38,2021-3371
53443810,Private Rooms in Loft Apartment with Great Views,111908867,Chris,,Near North/University,40.01358,-82.99767,Private room,78,1,1,4/24/22,0.2,4,348,1,2021-3473
53449406,"Capital University, Bexley  Safe and Clean",120455802,Norma,,Eastmoor/Walnut Ridge,39.95652,-82.91906,Entire home/apt,154,2,6,9/4/22,0.72,8,61,6,2019-2731
53480716,Large 1 bdr apartment center of short north area,66480503,Will,,Near North/University,39.9805,-83.00492,Entire home/apt,123,2,10,8/7/22,1.06,8,356,10,2019-4326
53481254,Stylish Grey Area! One Bedroom Apartment!,124529281,Joe,,Northeast,40.04786,-82.91473,Entire home/apt,122,30,1,5/1/22,0.21,1,158,1,
53494597,"*NEW* Monroe Matti, Federal Historic Downtown Home",117626724,Jared,,Near East,39.97322,-82.97946,Entire home/apt,281,1,52,9/12/22,5.45,2,302,52,2021-1259
53495930,★Best of Airbnb★ 2 bedroom - Close to everything!,90103906,StayCare Columbus,,North Linden,40.02124,-82.98745,Entire home/apt,124,2,22,8/27/22,2.37,4,346,22,2019-1151
53528855,Serenity Homes,420592425,Samuel,,Hilltop,39.92823,-83.08078,Entire home/apt,152,1,2,8/28/22,0.64,1,336,2,2022-1902
53538891,"This Old Home Spacious, Comfy & Centrally located",133736445,Gail,,South Linden,40.01067,-82.96974,Entire home/apt,85,30,2,4/20/22,0.3,3,312,2,
53556100,Perfect Central Location | Fast Wifi | Comfy Beds,158439641,GH Hospitality,,Downtown,39.95634,-82.9935,Entire home/apt,119,2,37,9/4/22,3.8,52,357,37,2021-1965
53575122,Perfect for OSU Football 2.3 miles to stadium,34950431,Miranda,,Clintonville,40.02032,-82.99909,Entire home/apt,171,1,29,9/6/22,3.27,3,65,29,2021-3499
53588240,Exquisite 1Bd 1Ba Oasis w/ Free Parking.,27108786,Jannette,,Near East,39.95586,-82.96482,Private room,70,7,11,8/28/22,1.36,3,173,11,2021-3163
53588535,Housepitality- Heart of Columbus- Location,26958698,Benjamin,,Near North/University,39.98509,-83.01784,Entire home/apt,399,1,21,6/8/22,2.24,107,173,21,2021-2399
53590237,Cozy 1 BR Apartment German Village!,26958698,Benjamin,,Near South,39.94712,-82.98723,Entire home/apt,143,1,20,7/30/22,2.08,107,358,20,2021-2971
53604552,Clean 2 Bedroom House Surrounded by Entertainment,434098153,Quinn,,Near North/University,39.984024,-83.015091,Entire home/apt,276,1,9,9/5/22,1.52,1,347,9,2022-1354
53604596,The Suburban,26958698,Benjamin,,Southeast,39.9031,-82.86409,Entire home/apt,156,1,5,9/4/22,0.52,107,355,5,
53613455,PrivateParking/Entrance_OSU/ExpoCentr 7E Renovated,249951812,Jessie,,Near North/University,39.99526,-82.99662,Entire home/apt,90,1,39,9/4/22,4.55,19,102,39,2022-1272
53614226,GORGEOUS *NEW* HOUSE IN GERMAN VILLAGE l LRG FIRE,158439641,GH Hospitality,,Near South,39.94545,-82.98633,Entire home/apt,296,2,23,8/21/22,2.49,52,88,23,2021-2258
53620565,Short North Villager,138699406,Lee,,Near North/University,39.97876,-83.01349,Entire home/apt,209,2,22,9/4/22,2.5,1,169,22,2021-3585
53625215,The Discovery House 2 - Downtown,26958698,Benjamin,,Downtown,39.96306,-82.98383,Entire home/apt,237,1,13,8/22/22,1.35,107,358,13,2021-2962
53644673,The Short North Retreat IV - Free Parking,194281106,Nicole,,Near North/University,39.981705,-83.00412,Entire home/apt,115,2,62,9/7/22,6.6,23,324,62,2021-2998
53670018,McAllister House - Near Downtown and Children’s,87232134,Justine,,Near East,39.95628,-82.96936,Entire home/apt,124,2,24,9/4/22,2.73,1,1,24,2021-3601
53674183,Modern APT in the Heart  of Downtown!,307751337,Empowered,,Downtown,39.96669,-82.99268,Entire home/apt,98,2,2,12/18/21,0.21,1,0,2,2019-1690
53675320,Private Room in Loft Apartment with Great Views!,111908867,Chris,,Near North/University,40.01213,-82.99808,Private room,78,1,0,,,4,348,0,2021-3473
53704558,Large home in the heart of Victorian Village!,57801695,Tim,,Near North/University,39.98385,-83.01531,Entire home/apt,223,2,4,1/23/22,0.42,2,0,4,2021-2611
53713600,Extremely Walkable | Private Yard | Fireplaces Throughout,8963103,Sarah,,Near North/University,39.97998,-83.0109,Entire home/apt,386,2,20,9/8/22,2.33,33,40,20,2021-2732
53720861,Charming Month Stay🪴2BR | 2BA in Short North🪴,435089524,Jay,,Near North/University,39.98005,-83.00151,Entire home/apt,109,30,2,8/30/22,0.87,1,54,2,
53724140,LANDING PAD -pet friendly by Airport / Easton,115836608,Erich,,Northeast,40.02433,-82.92523,Entire home/apt,200,2,27,9/18/22,3,24,0,27,2021-3407
53731136,Rare Rooftop Penthouse Loft in Arena District,183666543,Cody,,Downtown,39.96726,-83.00452,Entire home/apt,99,30,1,8/20/22,0.91,1,297,1,
53744022,Salon for Traveling Stylists. READ DESCRIPTION!!,250645307,Lexus,,Eastmoor/Walnut Ridge,39.9636938,-82.8858228,Entire home/apt,48,1,0,,,1,365,0,
53747917,Sun Room in Loft Apartment with Great Views!,111908867,Chris,,Near North/University,40.01325,-82.99869,Private room,85,1,2,4/30/22,0.4,4,348,2,2021-3473
53762975,"Upscale. 4BR/4BA. Gazebo, Kitchen. TV in each Room",392702716,Bianca,,Near South,39.95136,-82.97424,Entire home/apt,450,2,9,7/24/22,1.15,2,351,9,2019-1936
53768739,"Cute 2BD Home near Children's, Downtown, German V.",166091102,Brian,,Near South,39.94689,-82.97478,Entire home/apt,120,1,56,9/19/22,6.11,2,138,56,2021-3394
53771054,The Franklinton Modern Farmhouse,52174539,Kate & Nat,,Franklinton,39.95555,-83.02255,Entire home/apt,71,30,3,7/18/22,0.52,25,180,3,
53784081,Large Townhome | Washer + Dryer,8963103,Sarah,,Near South,39.95274,-82.99361,Entire home/apt,217,1,3,6/20/22,0.66,33,53,3,2021-2805
53785202,Large Private Yard | 7 bedrooms | Extremely Spacious,8963103,Sarah,,Near North/University,39.97863,-83.01206,Entire home/apt,655,2,35,9/4/22,4.18,33,40,35,2021-2732
53790665,Elegant Modern Carriage House in German Village,47313696,Remo,,Near South,39.94159,-82.99389,Entire home/apt,162,2,15,9/18/22,2.11,1,349,15,2021-3337
53799913,Peaceful palace - entire 2 bedroom apartment,435789076,Brittany,,Clintonville,40.04207,-83.01859,Entire home/apt,106,3,26,9/4/22,3.21,1,206,26,2021-3619
53816272,Luxurious Cozy Escape in Short North! FREE PARKING,347877199,Aamna,,Near North/University,39.9833002,-83.0063061,Entire home/apt,90,1,64,9/20/22,6.93,2,47,64,2021-7682
53824957,Short North Stay Near Breweries/OSU! FREE PARKING,347877199,Aamna,,Near North/University,39.98344,-83.0055,Entire home/apt,117,1,63,9/19/22,6.82,2,66,63,2021-6790
53827913,Stately Executive Home with Modern Amenities,177205580,Adrian,,Near East,39.95997,-82.97676,Entire home/apt,473,2,13,9/11/22,1.95,6,166,13,2021-3128
53829441,"▷No.2◁ OSU Med Center, Downtown, Short North, etc.",217660325,Jin,,Near North/University,39.99285,-83.00846,Entire home/apt,836,2,2,9/18/22,2,53,338,2,2021-3562
53831524,5 Minutes to Downtown/Walk to Franklin Park!,70253628,Evonne,,Near East,39.96797,-82.96472,Entire home/apt,116,2,2,9/18/22,2,4,71,2,2022-1885
53881803,Cozy Castle @ Nationwide Childrens - PETS Welcome!,115836608,Erich,,Near South,39.94661,-82.97478,Entire home/apt,139,2,17,9/11/22,1.93,24,176,17,2021-3359
53890083,Top Floor Condo - Heart of Short North,7484487,Christophe,,Near North/University,39.98453,-83.00504,Entire home/apt,125,30,1,6/27/22,0.34,1,340,1,2022-1697
53900007,Lovely 1-bdrm condo with free parking on premises,405328059,Hugh,,Westland,39.96677,-83.15526,Entire home/apt,90,3,2,8/14/22,0.28,1,333,2,2021-5782
53907907,"LUCY ROOM near OSU Medical center, Downtown, etc.",217660325,Jin,,Near North/University,39.99094,-83.0094,Private room,48,2,10,7/30/22,1.3,53,20,10,2021-3561
53908151,"LAURIE ROOM near OSU Medical Center, Downtown, etc",217660325,Jin,,Near North/University,39.99244,-83.00808,Private room,46,2,20,8/14/22,2.32,53,18,20,2021-3561
53908282,Modern Pet Friendly Home in Olde Towne East 🐶❤️,218759526,Rosaria,,Near East,39.96084,-82.96415,Entire home/apt,129,1,48,9/3/22,5.27,2,346,48,2019-1940
53908546,"LEAH ROOM on OSU Medical Center,Downtown..",217660325,Jin,,Near North/University,39.99281,-83.00928,Private room,47,2,8,8/27/22,1.57,53,13,8,2021-3561
53913276,"LILY ROOM near OSU Hospital,Downtown,Short North",217660325,Jin,,Near North/University,39.99293,-83.00776,Private room,37,2,14,9/1/22,1.61,53,12,14,2021-3571
